contentid,contenttypeid,title,addr1,addr2,sigungucode,mapx,mapy,tel,firstimage,cpyrhtDivCd,lclsSystm1,lclsSystm2,lclsSystm3,overview,homepage,business_hours,closed_days,fee,event_period
1116925,12,갈산공원,서울특별시 양천구 신정동 162-56,,19,126.8684105358,37.5061176314,,http://tong.visitkorea.or.kr/cms/resource/90/3467490_image2_1.jpg,Type3,VE,VE03,VE030400,"대체로 산세가 둥근 양천구의 다른 산들과는 달리 갈산은 동쪽 부분이 벼랑처럼 깎인 절경을 뽐낸다. 안양천의 오랜 침식작용으로 산 정상이 칼날처럼 변한 것으로 ‘칼산’이라는 이름으로 불리다가 ‘갈산’으로 순화되었다. 갈산 입구에는 어린이 교통공원이 들어서 있고, 중턱에는 중심광장과 산책로 등의 쉼터 그리고 정상에는 전망대가 있어 양천을 한눈에 감상할 수 있다. 갈산 정상에는 ‘갈산정’과 함께 그 옆으로 우리나라 최초의 ‘대삼각본점’이 설치되어 있다.",,상시 개방,연중무휴,,
264570,12,강남,서울특별시 강남구 압구정로 161 (압구정동),강남메디컬투어센터,1,127.0270732739,37.5268958352,,http://tong.visitkorea.or.kr/cms/resource/08/1984608_image2_1.jpg,Type3,EX,EX07,EX070200,"강남역 주변은 강남 지역에 있어서 교통의 핵심인 곳이다. 강남대로를 중심으로 동쪽으로는 테헤란로가 뻗어 있어 잠실 방향과 이어지며, 서쪽으로는 사당 방면으로 연결된다. 교보타워 사거리에서 좌측으로는 고속터미널과 이어져 노량진 및 서부 서울로 연결되며, 그대로 북쪽으로는 한남대교를 거쳐 강북으로 연결된다. 그리고 남쪽으로는 양재를 거쳐 분당 등의 신도시와 성남시 등 수도권으로 연결된다. 많은 유동인구가 강남역으로 모이는 이유는 강남역 부근이 만남을 위한 약속장소로 적합하기 때문이다. 각종 모임이나 행사 또는 개인적인 만남을 갖기에 좋은 지역적, 상권적 특성을 지니고 있다. 따라서 평일에는 주로 저녁 시간대, 주말의 경우는 낮부터 강남역 10, 11번 출구, 롯데시네마 앞(구, 시티극장), 지오다노 매장 앞 등에서 많은 사람들로 붐비는 것을 흔히 볼 수 있다. 편리한 교통과 다수의 패션 관련 매장, 극장, 대형서점 등 소비를 하기 좋은 이러한 환경이 거리가 먼 지역의 소비자들까지 강남역으로 모이게 하고 있다. 강남구에서는 내·외국인 관광객에게 종합관광서비스는 물론, 강남구의 우수 인프라인 의료와 한류에 대하여 보고, 느끼고, 즐길 수 있는 체험형 관광거점시설인 강남메디컬투어센터를 운영하고 있다. 강남메디컬투어센터는 외국인 의료관광객을 위해 강남의료관광과 관련된 제반 서비스를 종합적으로 제공하는 의료관광 안내센터로, 병원(협력기관) 안내, 통역연결, 텍스프리, 공항픽업, 주변 관광지 안내, 호텔예약 등 의료관광에 관련된 모든 서비스를 제공받을 수 있다. 이외에도 관광 안내 리플릿 등을 통해 여행 정보를 쉽게 얻을 수 있으며 잠시 쉬어갈 수 있는 휴게공간과 무료로 짐을 보관할 수 있는 물품 보관함 등의 편의시설도 이용할 수 있다.","<a href=""https://visitgangnam.net/"" target=""_blank"" title=""새창 : 비짓강남으로 이동"">https://visitgangnam.net</a>",상시 개방 (강남메디컬투어센터 평일 10:00~18:00),연중무휴,,
2456536,12,강남 마이스 관광특구,서울특별시 강남구 영동대로 513 (삼성동),,1,127.0592179950,37.5119175967,,http://tong.visitkorea.or.kr/cms/resource/13/3464913_image2_1.jpg,Type3,VE,VE05,VE050100,"일찍이 무역 센터가 자리 잡으며 국제 교류의 메카로 손꼽혀온 강남 삼성동 일대는, 세계에서 모여든 최첨단 비즈니스맨에게 한국을 알리는 창구 역할을 해왔다. 여기에 1990년대부터 강남 특유의 젊은 문화가 유입되면서 무역센터 일대는 비즈니스의 장이자 젊은 문화의 랜드마크라는 복합적인 성격을 띠며 발전했다. 
2014년 싸이의 ‘강남스타일’ 열풍과 더불어 국제교류 비즈니스 산업과 한류 문화의 공생을 강화하기 위해 이 일대가 강남 마이스 관광특구로 지정되었다. 강남 마이스 관광특구는 전시와 컨벤션, 세미나, 국제 전시회, 콘퍼런스 등이 이어지는 코엑스를 중심으로 자리 잡고 있고, 백화점, 호텔, 면세점, 도심공항터미널이 유기적으로 모여 있어, 국내뿐만 아니라 외국인 관광객이 끊이지 않는다. 강남 마이스 관광특구 일대는 한국판 타임스퀘어로 조성되어 최첨단 디스플레이를 활용해 홀로그램과 증강 현실을 체험하고, 건물 외벽에 설치된 초대형 LED 전광판에서 표출되는 화려한 미디어 아트와 광고를 감상할 수 있다.",,,,,
128961,12,강변스파랜드,서울특별시 광진구 구의강변로 45 (구의동),,6,127.0913227521,37.5349377239,,http://tong.visitkorea.or.kr/cms/resource/98/3401698_image2_1.JPG,Type3,EX,EX05,EX050200,"강변스파랜드는 지하 1·2층, 9917.4m²(3,000평) 규모의 사우나를 즐길 수 있는 대규모 스파 시설이다. 재래식 불한증막과 찜질방, 사우나 등의 시설 이용과 함께 한 차원 높은 문화공간 체험이 가능한 곳이다. 지하 2층은 사우나, 지하 1층은 공용 찜질방이다. 세련된 인테리어와 유황 성분이 함유된 지하수 사우나 물은 매끄럽고 피부에도 좋다고 한다. 재래식 소나무장작불한증막, 넓은 공용 홀을 비롯하여 숯방, 소금방, 은피라미드방, 여성전용황토불가마, 황토방, 이글루체험방 등 다양한 찜질방과 온탕, 냉탕, 아쿠아워킹, 마사지탕, 습식사우나, 건식사우나 등 각종 사우나시설을 즐길 수 있다. 부대시설로는 모임방, 어린이놀이방, 당구장, 탁구장, 대형게임장, 충전카페, 피부관리실이 있으며, 한식당과 치킨·스낵코너에서 식사와 간단한 요깃거리를 해결할 수 있다.","<a href=""http://ispaland.co.kr/""target=""_blank"" title=""새창:강변스파랜드 홈페이지로 이동"">http://ispaland.co.kr/</a>","- 주간 05:00~20:00<br>
- 야간 20:00~익일 05:00",연중무휴,,
3043735,12,강서역사문화거리,서울특별시 강서구 양천로 291 (마곡동),,4,126.8366643489,37.5722343802,,http://tong.visitkorea.or.kr/cms/resource/09/3045109_image2_1.jpg,Type3,VE,VE04,VE040100,"강서역사문화거리는 다양한 역사 문화 유적지가 산재한 가양동 일대에 위치한 곳으로, 가양동 일대의 낙후된 경관을 개선해 역사와 문화의 향취가 가득한 거리로 탈바꿈한 것이다. 가양동 궁산 일대는 조선시대 양천현아가 있었던 행정의 중심지인 까닭에 많은 역사 문화유산이 곳곳에 남아있다. 
9호선 양천향교역 1번 출구를 나와 마곡지구에서 이어지는 양천로 47길 초입에 설치된 강서역사문화거리임을 알리는 상징 조형물이 세워져 있다. 기둥 형태의 안내판에는 유적지를 소개하는 글과 위치를 담고 있어 누구든 쉽게 유적지를 찾을 수 있다. 겸재정선미술관, 궁산땅굴, 소악루, 양천고성지, 양천향교로 이어지는 강서역사문화거리는 천천히 걸어 1시간 정도 걸리는 코스이다. 해가 저물면 역사문화 거리는 낮의 모습과는 다르게 아름다운 조명이 켜지며 빛을 받은 조형물이 줄을 잇는 모습을 연출한다.","<a href=""https://www.gangseo.seoul.kr/munhwa/mh020301"" target=""_blank"" title=""새창 : 강서문화관광으로 이동"">https://www.gangseo.seoul.kr</a>",상시 개방,연중무휴,,
2591792,12,개봉유수지 생태공원,서울특별시 구로구 개봉동,195-7,7,126.8632141714,37.4924524597,,http://tong.visitkorea.or.kr/cms/resource/55/3558655_image2_1.jpg,Type1,VE,VE03,VE030100,"개봉유수지 생태공원은 유수지의 특성을 고려한 안정적인 생태기반환경 복원으로 조성하였다. 주변 주거지역과 연계한 다양한 서식공간 조성으로 종다양성을 증진하고 목감천의 하천생태축과 연계한 도시생태 네트워크를 구축했다. 공원 내에는 생태습지, 생태놀이터, 장미수국원, 맨발산책로, 잔디광장 등이 조성되어 있어 아이들의 자연학습공간으로도 좋다.",,상시 개방,연중무휴,,
2733966,12,거리공원,서울특별시 구로구 구로동,73-1,7,126.8916141621,37.4995521419,,http://tong.visitkorea.or.kr/cms/resource/42/3558642_image2_1.jpg,Type1,VE,VE03,VE030100,"구로거리공원은 서울 구로구에 위치한 공원으로, 지역 주민들의 여가와 휴식을 위한 공간이다. 구로구 거리공원오거리에서 신도림역에 이르는 보조 간 선급 가로를 거리공원길이라고 하는데, 구로 거리공원을 따라 이어진 길이라는 의미에서 거리공원길이라고 이름 붙였다. 공원에는 산책로, 운동기구 등이 갖추어져 있어 운동과 산책을 즐길 수 있다. 또 어린이 놀이시설도 마련되어 있어 가족 단위 방문객들에게 인기가 많다. 
구로거리공원은 다양한 나무와 꽃들이 어우러져 자연을 만끽할 수 있는 장소로, 계절마다 변화하는 경관은 방문객들에게 새로운 즐거움을 선사한다. 봄에는 벚꽃으로 만개하고, 가을에는 단풍으로 물들어 계절마다 아름다운 풍경을 즐길 수 있다.",,상시 개방,연중무휴,,
1604652,12,건청궁,서울특별시 종로구 사직로 161 (세종로),,23,126.9767375783,37.5760836609,,http://tong.visitkorea.or.kr/cms/resource/10/2527110_image2_1.jpg,Type3,HS,HS01,HS011200,"건청궁(乾淸宮)은 1873년(고종 10)에 왕과 왕비의 생활공간으로 지어진 궁 안의 궁이다. ‘건청’은 ‘하늘은 맑다’라는 뜻으로, 경복궁에서 가장 북쪽에 위치하고 있다. 건물은 민간 사대부 집의 형태를 따르면서 화려하고 섬세한 치장을 가미하여 지었다. 건청궁의 왕의 생활공간인 장안당(長安堂, 오랫동안 평안하게 지냄)과 왕비의 생활공간인 곤녕합(坤寧閤, 땅이 편안함) 등으로 구성되어 있는데, 장안당과 곤녕합은 복도로 이어져 있다. 이곳에서 고종과 명성황후는 10년 정도 생활하였다. 그러나 1895년(고종 32) 곤녕합 옥호루(玉壺樓, 옥으로 만든 호리병)에서 명성황후가 시해되는 을미사변이 일어나 고종은 이듬해 러시아공사관으로 거처를 옮기게 되었다. 이후 1909년(융희 3)에 철거되었고 일제강점기 때 미술관이 들어섰다가 철거된 후 2007년에 지금의 모습으로 복원하였다.","<a href=""https://royal.khs.go.kr/ROYAL/contents/menuInfo-gbg.do?grpCode=gbg"" target=""_blank"" title=""새창 : 국가유산청 궁능유적본부로 이동"">https://royal.khs.go.kr</a>","[1월~2월] 09:00~17:00 (입장마감 16:00)<br>
[3월~5월] 09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)<br>
[9월~10월] 09:00~18:00 (입장마감 17:00)<br>
[11월~12월] 09:00~17:00 (입장마감 16:00)","매주 화요일<br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",,
294505,12,경국사(서울),서울특별시 성북구 보국문로 113-10 (정릉동),,17,127.0056310926,37.6139242251,,http://tong.visitkorea.or.kr/cms/resource/81/3571681_image2_1.jpg,Type1,HS,HS03,HS030100,"경국사는 1325년에 자정율사가 창건하였는데, 삼각산의 청봉 아래 있다고 하여 ‘청암사’라 하였다고 전한다. 창건주인 자정율사는 계율에 정통하였을 뿐만 아니라 법화(法華), 유식(唯識) 등에서도 조예가 깊었으며, 계율과 법화경(法華經) 관음신앙을 승상 하던 사찰이었다. 그리고 1349년 태고보우(太古普愚) 국사가 중국에 가서 석옥청공(石屋淸珙) 스님으로부터 법을 전해 받고 귀국하여 경국사에 공민왕의 청을 받아 금란가사와 주장자(拄杖子)를 하사 받고 국사가 되었다. 1545년, 명종조(明宗朝) 때 왕모(王母)인 문정왕후(文定王后)가 불사를 하면서 국가의 경사스러움을 끊어지지 않도록 기원하는 뜻에서 ‘경국사’로 개칭하였다. 그 후 1698년에는 연화승성 스님이 절을 중수하고 천태성전을 세웠다. 천태성전은 독성을 모신 전각으로 이때 기록한 『천태성전상량문』이 지금도 전한다. 전 대통령 이승만도 경국사에 주석하던 보경스님이 인품에 감화되어 전 닉슨 부통령과 함께 참배한 일화도 전한다. 1977년부터 1985년까지 보경 금어 큰스님이 뒤를 이어 주지 소임을 맡은 지관 대종사(전 조계종 총무원장)가 경국사를 현재의 모습으로 탈바꿈시켰으며, 2005년에 한국불교의 율풍 진작에 헌신했던 자운대율사의 계주원명사리탑(戒珠圓明舍利塔)도 이곳에 세워졌다.",,09:00~18:00,연중무휴,,
2930839,12,경리단길,서울특별시 용산구 이태원동,210-65,21,126.9875154390,37.5384521160,,http://tong.visitkorea.or.kr/cms/resource/85/3568185_image2_1.jpg,Type1,EX,EX07,EX070200,"경리단길은 국군재정관리단 정문으로부터 그랜드하얏트 호텔 방향으로 이어지는 길과 주변 골목길을 통칭하며, 과거 육군중앙경리단이 현 위치에 있어 경리단길이라 불리어왔다. 경리단길은 저마다 개성이 넘치는 식당과 카페의 다양하고 독특한 먹거리가 유명한 문화와 젊음의 공간이다. 또한, 서울의 평범한 동네 같으면서도 세계 각국에서 온 외국인들이 주민들과 자연스럽게 어울려 지내는 모습이 이국적이고 색다른 분위기를 자아낸다.",,상시 개방,,,
