번호,지역,상호,유형,원문(영업시간),적재된 영업시간,원문(휴무),적재된 휴무,파서 메모,시작,종료,브레이크,라스트오더,요일,휴무,틀린방향,메모
1,경복궁,[백년가게] 선천집,단순,11:00~21:00,매일 11:00-21:00,매주 일요일,매주 일,,,,,,,,,
2,경복궁,감꽃당,단순,10:30~22:00,매일 10:30-22:00,연중무휴,(없음),,,,,,,,폐업,구글 검색 시 폐업이라고 나옴. Api 활용하면 조회 가능한가?
3,경복궁,개성만두 궁,"요일별,브레이크,라스트오더",[평일] - 11:30~21:30 - 준비시간 15:00~16:00 - 마지막 주문 20:50 [토요일] 11:30~21:30 (마지막 주문 20:50) [일요일] 11:30~20:00 (마지막 주문 19:20),평일 11:30-15:00 + 16:00-21:30 LO 20:50 / 토 11:30-21:30 LO 20:50 / 일 11:30-20:00 LO 19:20,연중무휴,(없음),,11:30,"[일, 월, 화] - 20:00, [수, 목, 금, 토] - 21:30","[월, 화] - 14:20~16:00, [수, 목, 금] - 15:00~16:00","[일, 월, 화] - 19:10, [수, 목, 금, 토] - 20:40",,,,
4,경복궁,광화문 세종클럽,단순,11:30~24:00,매일 11:30-00:00(익일),연중무휴,(없음),,,,,,,,,
5,경복궁,까델루뽀,"요일별,브레이크,라스트오더",[월요일~금요일] - 12:00~21:30 - 준비시간 14:50~18:00 - 점심 마지막 주문 13:30 - 저녁 마지막 주문 20:00 [토요일] - 12:00~21:00 - 준비시간 14:50~18:00 - 점심 마지막 주문 13:30 - 저녁 마지막 주문 19:30,평일 12:00-14:50 LO 13:30 + 18:00-21:30 LO 20:00 / 토 12:00-14:50 LO 13:30 + 18:00-21:00 LO 19:30 / 일 (모름),매주 일요일,매주 일,,[월~토] - 11:30,"[월~금] - 21:30, [토] - 21:00",[월~토] - 14:50~18:00,"[월~금] - 13:20, 20:00, [토] - 13:20, 19:00",,,,
6,경복궁,낙동강,단순,11:30~22:30,매일 11:30-22:30,매주 일요일,매주 일,,"[월~금] - 11:00, [토] - 11:30","[월~금] - 22:00, [토] - 20:30",[월~금] - 15:00~17:00,"[월~금] - 21:30, [토] - 20:00",,,,
7,경복궁,내자상회,단순,10:00~22:00,매일 10:00-22:00,연중무휴,(없음),,,,,,,,,
8,경복궁,다락정,단순,11:00~21:30,매일 11:00-21:30,연중무휴,(없음),,,,,,,,,
9,경복궁,두가헌 레스토랑,메모있음,12:00~22:00,매일 12:00-22:00,#NAME?,"매주 월, 매주 화, 매주 일",계절 또는 비정기 휴무라 담지 못함,,,14:30~18:00,,,"[여름, 겨울: 일,월 휴뮤], [봄, 가을: 월,화 휴무]",,
10,경복궁,라칸티나,"브레이크,라스트오더",- 11:30~22:00 - 준비시간 15:00~17:00 - 점심 마지막 주문 14:00 / 저녁 마지막 주문 21:00,매일 11:30-15:00 LO 14:00 + 17:00-22:00 LO 21:00,매주 일요일 / 공휴일 점심,매주 일,,,,,,,,,
11,경복궁,무교동 북어국집,"요일별,라스트오더",- 평일 07:00~20:00 (마지막 주문 19:30) - 주말 07:00~15:00 (마지막 주문 14:30),평일 07:00-20:00 LO 19:30 / 주말 07:00-15:00 LO 14:30,연중무휴,(없음),,,,,,,,,
12,경복궁,뮤직컴플렉스 서울,단순,12:00~23:50,매일 12:00-23:50,연중무휴,(없음),,,23:00,,,,,,
13,경복궁,붓처스컷 광화문점,"요일별,브레이크,메모있음",[평일] - 11:30~22:00 - 준비시간 15:00~17:00 [토요일] - 11:30~22:00 [일요일] - 11:30~21:00,평일 11:30-15:00 + 17:00-22:00 / 토 11:30-22:00 / 일 11:30-21:00,,(없음),원문 없음,,,,,,,,
14,경복궁,서울서둘째로잘하는집,단순,11:00 ~ 20:30,매일 11:00-20:30,명절당일,매주 일,,,20:00,,,,없음,,
15,경복궁,소선재,"브레이크,라스트오더",11:30~21:00 - 준비시간 14:30~17:00 - 점심 마지막 주문 14:00 / 저녁 마지막 주문 20:30,매일 11:30-14:30 LO 14:00 + 17:00-21:00 LO 20:30,연중무휴,(없음),,,,,,,,,
16,경복궁,스미스가 좋아하는 한옥,단순,11:30~21:00 (준비시간 15:00~17:00),매일 (모름),연중무휴,(없음),,,,15:00~17:00,,,,,
17,경복궁,스태픽스,메모있음,10:00~21:00,매일 10:00-21:00,매월 마지막 주 월요일,(없음),매월 마지막 주 표기는 주차 수로 담지 못함,,20:30,,20:00,,,,
18,경복궁,신승관,"브레이크,라스트오더",- 11:00~23:00 - 준비시간 15:00~16:30 - 마지막 주문 21:00,매일 11:00-15:00 + 16:30-23:00 LO 21:00,매주 일요일,매주 일,,,"평일 22:00, 주말 20:30",,"평일 21:00, 주말 19:30",,,,
19,경복궁,안동국시소람,단순,주중 11:00~21:00 (브레이크타임 15:00~17:00 / 주중 라스트오더 20:20) 주말 11:00~20:00 (브레이크타임 15:00~17:00 / 주중 라스트오더 19:20),매일 (모름),명절연휴(전화문의),매주 화,,11:00,"평일 21:00, 주말 20:40",15:00~17:00,"평일 20:20, 주말 20:00",,없음,,
20,경복궁,양반댁,단순,11:30~21:00 (주중 브레이크타임 15:00~17:00 / 라스트오더 20:00),매일 (모름),연중무휴,(없음),,,,,,,,,
21,경복궁,엘 샌드위치,요일별,- 월요일~금요일 07:00~20:00 - 토요일 10:00~14:00,평일 07:00-20:00 / 토 10:00-14:00 / 일 (모름),매주 일요일,매주 일,,,,,,,,,
22,경복궁,옛찻집,단순,11:00~21:00,매일 11:00-21:00,연중무휴,(없음),,,,,,,,,
23,경복궁,이문설농탕,"요일별,브레이크,라스트오더",[월요일~토요일] - 08:00~21:00 - 준비시간 15:00~16:30 - 점심 마지막 주문 14:30 / 저녁 마지막 주문 20:30 [일요일] - 08:00~20:00 - 준비시간 15:00~16:30 - 점심 마지막 주문 14:30 / 저녁 마지막 주문 19:30 ※ 재료 소진 시 조기 마감,월~토 08:00-15:00 LO 14:30 + 16:30-21:00 LO 20:30 / 일 08:00-15:00 LO 14:30 + 16:30-20:00 LO 19:30,연중무휴,(없음),,,,,,,,,
24,경복궁,인왕산 더숲 초소책방,라스트오더,08:00~22:00 (라스트오더 21:30),매일 08:00-22:00 LO 21:30,연중무휴,(없음),,,,,,,,,
25,경복궁,인천집,단순,주중 11:30~22:00 (브레이크타임 15:00~17:00) 토요일 13:00~22:00,"월,화,수,목,금,일 (모름) / 토 13:00-22:00",매주 일요일,매주 일,,,,,,,,,
26,경복궁,장수촌 풍천장어,단순,10:00~22:00,매일 10:00-22:00,연중무휴,(없음),,10:45,21:40,,,,,,
27,경복궁,찬양집,단순,10:00-21:00,매일 10:00-21:00,매주 일요일 / 명절 연휴,매주 일,,,,,,,,,
28,경복궁,참숯골,"요일별,브레이크,라스트오더",[평일] - 11:00~22:00 - 준비시간 14:30~17:00 - 마지막 주문 21:00 [토요일] - 11:00~21:00 - 마지막 주문 20:00,평일 11:00-14:30 + 17:00-22:00 LO 21:00 / 토 11:00-21:00 LO 20:00 / 일 (모름),매주 일요일,매주 일,,,,,,,,,
29,경복궁,호면정,"브레이크,라스트오더",- 10:30~21:20 - 준비시간 14:30~16:30 - 마지막 주문 20:40,매일 10:30-14:30 + 16:30-21:20 LO 20:40,주말,"매주 토, 매주 일",,,,,,,,,
30,서울역,고려삼계탕,요일별,- 월요일~금요일 10:30~21:00 - 토요일~일요일 10:30~20:30,평일 10:30-21:00 / 주말 10:30-20:30,연중무휴,(없음),,,,,,,,,
31,서울역,남문토방,단순,10:00~22:00,매일 10:00-22:00,연중무휴,(없음),,,,,,,,,
