번호,지역,상호,유형,원문(영업시간),적재된 영업시간,원문(휴무),적재된 휴무,파서 메모,시작,종료,브레이크,라스트오더,요일,휴무,틀린방향,메모
32,서울역,남산도서관 구내식당,라스트오더,9:30-19:30 (19:15 라스트오더),매일 09:30-19:30 LO 19:15,연중무휴,(없음),,,,,,,,,
33,서울역,서울로PH,단순,화~일 09:00 - 22:00,월 (모름) / 화~일 09:00-22:00,매주 월요일 정기휴무,매주 월,,,,,,,,,
34,서울역,서화,단순,17:00~22:00,매일 17:00-22:00,매주 주말 / 공휴일 / 설·추석 연휴,"설날 연휴, 추석 연휴",,,,,,,,,
35,서울역,은호식당,"요일별,라스트오더",- 평일 06:05~21:00 (마지막 주문 20:40) - 주말 06:05~16:00 (마지막 주문 15:40),평일 06:05-21:00 LO 20:40 / 주말 06:05-16:00 LO 15:40,연중무휴,(없음),,,,,,,,,
36,서울역,일미장어,"요일별,브레이크,라스트오더","[평일] - 11:30~21:00 - 준비시간 13:30~17:30 - 마지막 주문 12:45, 20:15 [토요일] - 12:00~20:00 - 준비시간 14:00~17:00 - 마지막 주문 13:15, 19:15",평일 11:30-13:30 LO 12:45 + 17:30-21:00 LO 20:15 / 토 12:00-14:00 LO 13:15 + 17:00-20:00 LO 19:15 / 일 (모름),매주 일요일,매주 일,,,,,,,,,
37,서울역,진주회관,"요일별,브레이크,라스트오더",[평일] 11:00~21:00 (마지막 주문 20:30) [토요일] - 11:00~20:00 - 준비시간 14:00~15:00 마지막 주문 19:30,평일 11:00-21:00 LO 20:30 / 토 11:00-14:00 + 15:00-20:00 LO 19:30 / 일 (모름),매주 일요일,매주 일,,,,,,,,,
38,성수,가조쿠,"요일별,브레이크,라스트오더",- 11:00~21:00 - 준비시간(평일) 14:30~17:00 - 준비시간(주말) 15:00~17:00 - 마지막 주문 20:00,평일 11:00-14:30 + 17:00-21:00 LO 20:00 / 주말 11:00-15:00 + 17:00-21:00 LO 20:00,연중무휴,(없음),,,,,,,,,
39,성수,계월,"브레이크,라스트오더","- 11:00~21:00 - 준비시간 15:00~17:00 - 마지막 주문 14:30, 20:30",매일 11:00-15:00 LO 14:30 + 17:00-21:00 LO 20:30,연중무휴,(없음),,,,,,,,,
40,성수,기후,단순,11:30~22:00 (브레이크타임 14:00~17:30),매일 (모름),연중무휴,(없음),,,,,,,,,
41,성수,꾸아 성수점,"요일별,브레이크,라스트오더,메모있음","- 11:00~21:00 - 준비시간(평일) 15:30~17:00 - 마지막 주문 14:45, 20:15",평일 11:00-15:30 LO 14:45 + 17:00-21:00 LO 20:15 / 주말 11:00-21:00,설·추석 연휴,"설날 연휴, 추석 연휴","6요일 구간 1 에 마지막 주문 후보가 여럿 [885, 1215] / 6요일 마지막 주문 [885, 1215] 이 구간 밖 / 7요일 구간 1 에 마지막 주문 후보가 여럿 [885, 1215] / 7요일 마지막 주문 [885, 1215] 이 구간 밖",,,,,,,,
42,성수,누메로뜨레쓰,"요일별,브레이크,라스트오더",- 11:00~21:00 - 준비시간(평일) 15:00~17:00 - 마지막 주문 20:00,평일 11:00-15:00 + 17:00-21:00 LO 20:00 / 주말 11:00-21:00 LO 20:00,연중무휴,(없음),,,,,,,,,
43,성수,대돈집,라스트오더,주중 11:00~22:00 (브레이크타임 15:00~17:00 / 라스트오더 21:30) 토요일 16:00~22:00 (라스트오더 21:30),"월,화,수,목,금,일 (모름) / 토 16:00-22:00 LO 21:30",매주 일요일,매주 일,,,,,,,,,
44,성수,대성갈비,"브레이크,라스트오더",- 11:00~21:00 - 준비시간 14:30~16:30 - 마지막 주문 19:30,매일 11:00-14:30 + 16:30-21:00 LO 19:30,매주 일요일,매주 일,,,,,,,,,
45,성수,러프러프,"요일별,라스트오더",평일 11:00~22:00 (라스트오더 21:30) 주말 12:00~23:00 (라스트오더 22:30),평일 11:00-22:00 LO 21:30 / 주말 12:00-23:00 LO 22:30,연중무휴,(없음),,,,,,,,,
46,성수,록멘,"요일별,브레이크,라스트오더",[평일] - 11:30~21:00 - 준비시간 15:00~17:00 - 마지막 주문 20:30 [일요일] - 12:00~16:00 - 마지막 주문 15:30,평일 11:30-15:00 + 17:00-21:00 LO 20:30 / 토 (모름) / 일 12:00-16:00 LO 15:30,매주 토요일 / 설·추석 당일,"매주 토, 설날 당일, 추석 당일",,,,,,,,,
47,성수,루프,자정넘김,09:30~02:00,매일 09:30-02:00(익일),연중무휴,(없음),,,,,,,,,
48,성수,마를리,단순,09:00~23:00,매일 09:00-23:00,연중무휴,(없음),,,,,,,,,
49,성수,마하차이 성수본점,라스트오더,- 11:00~21:00 - 마지막 주문 20:20,매일 11:00-21:00 LO 20:20,연중무휴,(없음),,,,,,,,,
50,성수,메이플탑,라스트오더,09:00~18:00 (라스트오더 17:30),매일 09:00-18:00 LO 17:30,연중무휴,(없음),,,,,,,,,
51,성수,목금,요일별,- 평일 11:30~21:00 - 주말 12:00~21:00,평일 11:30-21:00 / 주말 12:00-21:00,연중무휴,(없음),,,,,,,,,
52,성수,무브모브,요일별,- 평일 08:00~22:00 - 토요일 12:00~22:00 - 일요일 12:00~21:00,평일 08:00-22:00 / 토 12:00-22:00 / 일 12:00-21:00,연중무휴,(없음),,,,,,,,,
53,성수,바다화원 본점,"요일별,라스트오더",[평일] - 11:00~22:00 - 마지막 주문 21:30) [주말] - 11:00~21:30 - 마지막 주문 20:30,평일 11:00-22:00 LO 21:30 / 주말 11:00-21:30 LO 20:30,연중무휴,(없음),,,,,,,,,
54,성수,백야드빌더성수,라스트오더,- 11:00~24:00 - 마지막 주문 23:30,매일 11:00-00:00(익일) LO 23:30,연중무휴,(없음),,,,,,,,,
55,성수,베티버,라스트오더,- 10:00~21:00 - 마지막 주문 20:00,매일 10:00-21:00 LO 20:00,연중무휴,(없음),,,,,,,,,
56,성수,브로벨커피,요일별,- 평일 08:30~17:00 - 주말 12:00~18:00,평일 08:30-17:00 / 주말 12:00-18:00,연중무휴,(없음),,,,,,,,,
57,성수,뺑드에코,단순,11:00~19:00,매일 11:00-19:00,매주 일요일~월요일 / 설·추석 연휴,"매주 일, 매주 월, 설날 연휴, 추석 연휴",,,,,,,,,
58,성수,성수노루,라스트오더,- 16:00~23:00 - 마지막 주문 22:00,매일 16:00-23:00 LO 22:00,설·추석 당일,"매주 일, 설날 당일, 추석 당일",,,,,,,,,
59,성수,성수다락,"라스트오더,메모있음",11:30~21:15 (마지막 주문 20:30),매일 11:30-21:15 LO 20:30,,(없음),원문 없음,,,,,,,,
60,성수,성수족발,"브레이크,라스트오더",- 12:00~22:00 - 준비시간 15:00~17:00 - 마지막 주문 21:00,매일 12:00-15:00 + 17:00-22:00 LO 21:00,연중무휴,(없음),,,,,,,,,
61,성수,세디치,"브레이크,라스트오더","- 11:30~22:00 - 준비시간 15:00~17:30 - 마지막 주문 14:00, 21:00",매일 11:30-15:00 LO 14:00 + 17:30-22:00 LO 21:00,매주 월요일 / 설·추석 연휴,"매주 월, 설날 연휴, 추석 연휴",,,,,,,,,
62,성수,소랑호젠,"브레이크,라스트오더,메모있음","- 11:30~21:30 - 준비시간 15:00~17:00 - 마지막 주문 10:40, 20:10",매일 11:30-15:00 + 17:00-21:30 LO 20:10,설·추석 연휴,"설날 연휴, 추석 연휴",1요일 마지막 주문 [640] 이 구간 밖 / 2요일 마지막 주문 [640] 이 구간 밖 / 3요일 마지막 주문 [640] 이 구간 밖 / 4요일 마지막 주문 [640] 이 구간 밖 / 5요일 마지막 주문 [640] 이 구간 밖 / 6요일 마지막 주문 [640] 이 구간 밖 / 7요일 마지막 주문 [640] 이 구간 밖,,,,,,,,
63,성수,소문난성수감자탕 별관,단순,상시 개방,매일 (모름),연중무휴,(없음),,,,,,,,,
64,성수,어니언 성수,"요일별,라스트오더",[평일] - 08:00~22:00 - 마지막 주문 21:30 [주말] - 09:00~22:00 - 마지막 주문 21:30,평일 08:00-22:00 LO 21:30 / 주말 09:00-22:00 LO 21:30,연중무휴,(없음),,,,,,,,,
65,성수,어페어커피,단순,11:00~18:00,매일 11:00-18:00,매주 월요일,매주 월,,,,,,,,,
66,성수,업사이드커피,요일별,- 평일 08:00~21:00 - 주말 09:00~21:00,평일 08:00-21:00 / 주말 09:00-21:00,연중무휴,(없음),,,,,,,,,
67,성수,에르제 성수,요일별,- 평일 08:00~19:30 - 주말 10:00~19:30,평일 08:00-19:30 / 주말 10:00-19:30,설·추석 연휴,"설날 연휴, 추석 연휴",,,,,,,,,
68,성수,에이투비 Cafe&Bar,라스트오더,- 12:00~23:00 - 마지막 주문 22:30,매일 12:00-23:00 LO 22:30,연중무휴,(없음),,,,,,,,,
69,성수,오뜨로,라스트오더,- 11:30~21:30 - 마지막 주문 20:30,매일 11:30-21:30 LO 20:30,연중무휴,(없음),,,,,,,,,
70,성수,오레노카츠 성수본점,브레이크,- 11:30~22:00 - 준비시간 14:50~17:00,매일 11:30-14:50 + 17:00-22:00,설·추석 연휴,"설날 연휴, 추석 연휴",,,,,,,,,
71,성수,옹근달,라스트오더,- 11:00~23:00 - 마지막 주문 22:30,매일 11:00-23:00 LO 22:30,연중무휴,(없음),,,,,,,,,
72,성수,원기옥,"브레이크,라스트오더",- 11:30~22:00 - 준비시간 15:00~17:00 - 마지막 주문 21:00,매일 11:30-15:00 + 17:00-22:00 LO 21:00,연중무휴,(없음),,,,,,,,,
73,성수,전자방,"요일별,브레이크",[평일] - 11:00~21:30 - 준비시간 14:00~17:00 [주말] - 12:00~21:00,평일 11:00-14:00 + 17:00-21:30 / 주말 12:00-21:00,연중무휴,(없음),,,,,,,,,
74,성수,진작다이닝,라스트오더,- 11:30~21:00 - 마지막 주문 20:30,매일 11:30-21:00 LO 20:30,연중무휴,(없음),,,,,,,,,
75,성수,치카성수,단순,12:00~19:00,매일 12:00-19:00,매주 월요일,매주 월,,,,,,,,,
76,성수,탐광,"요일별,브레이크,라스트오더,메모있음",- 11:30~21:00 - 준비시간(평일) 15:30~16:30 - 마지막 주문 20:30,평일 11:30-15:30 + 16:30-21:00 LO 20:30 / 주말 11:30-21:00 LO 20:30,1월 1일 / 설·추석 연휴,"매주 월, 매주 일, 설날 연휴, 추석 연휴",연도 없는 특정일 표기라 날짜 규칙으로 담지 못함,,,,,,,,
77,성수,텐동식당,브레이크,- 11:00~21:00 - 준비시간 15:00~17:00,매일 11:00-15:00 + 17:00-21:00,연중무휴,(없음),,,,,,,,,
78,성수,파르코,"요일별,브레이크",- 11:30~21:30 - 준비시간(평일) 15:00~17:00,평일 11:30-15:00 + 17:00-21:30 / 주말 11:30-21:30,연중무휴,(없음),,,,,,,,,
79,성수,폴인레미유,"요일별,라스트오더",- 평일 09:00~19:30 - 주말 12:00~21:00 - 마지막 주문 20:30,평일 09:00-19:30 / 주말 12:00-21:00 LO 20:30,연중무휴,(없음),,,,,,,,,
80,성수,피어커피,요일별,- 평일 08:30~20:00 - 주말 09:30~20:00,평일 08:30-20:00 / 주말 09:30-20:00,연중무휴,(없음),,,,,,,,,
81,성수,할머니의 레시피,"브레이크,라스트오더",- 11:00~21:10 - 준비시간 15:30~16:40 - 점심 마지막 주문 15:00 / 저녁 마지막 주문 20:40,매일 11:00-15:30 LO 15:00 + 16:40-21:10 LO 20:40,연중무휴,(없음),,,,,,,,,
82,성수,호랑이 초밥,브레이크,- 11:30~22:00 - 준비시간 15:00~17:00,매일 11:30-15:00 + 17:00-22:00,설·추석 연휴,"설날 연휴, 추석 연휴",,,,,,,,,
83,성수,훼미리손칼국수보쌈,단순,11:30~21:30,매일 11:30-21:30,설·추석 연휴,"설날 연휴, 추석 연휴",,,,,,,,,
84,잠실,돈족골,단순,09:30~23:00,매일 09:30-23:00,연중무휴,(없음),,,,,,,,,
85,잠실,멘야하나비,"브레이크,라스트오더",- 11:30~21:00 - 준비시간 14:30~17:30 - 마지막 주문 20:30,매일 11:30-14:30 + 17:30-21:00 LO 20:30,매주 월요일,매주 월,,,,,,,,,
86,잠실,문어세상해천탕,단순,11:30~23:00,매일 11:30-23:00,연중무휴,(없음),,,,,,,,,
87,잠실,바이킹스워프 롯데월드몰점,단순,- 평일 12:00~21:00 (준비시간 15:00~18:00) - 주말 11:30~21:00 (준비시간 13:20~13:40),매일 (모름),연중무휴,(없음),,,,,,,,,
88,잠실,부부횟집,단순,11:30~21:00 (준비시간 14:30~16:30),매일 (모름),연중무휴,(없음),,,,,,,,,
89,잠실,뽕사부,요일별,- 월요일~토요일 00:00~24:00 - 일요일 00:00~21:00,월~토 00:00-00:00(익일) / 일 00:00-21:00,연중무휴,(없음),,,,,,,,,
90,잠실,산들해 송파점,"브레이크,라스트오더","- 11:10~21:00 - 준비시간 15:00~17:00 - 마지막 주문 14:30, 20:00",매일 11:10-15:00 LO 14:30 + 17:00-21:00 LO 20:00,연중무휴,(없음),,,,,,,,,
91,잠실,샛집남원추어탕,단순,10:30~21:00,매일 10:30-21:00,연중무휴,(없음),,,,,,,,,
92,잠실,신양로스터스,요일별,- 평일 11:00~14:00 - 토요일 11:00~17:00,평일 11:00-14:00 / 토 11:00-17:00 / 일 (모름),매주 일요일~화요일,"매주 일, 매주 월, 매주 화",,,,,,,,,
93,잠실,앙떼띠 카페,"요일별,메모있음",평일 9:00-20:00 / 주말 9:30-20:00,평일 09:00-20:00 / 주말 09:30-20:00,,(없음),원문 없음,,,,,,,,
94,잠실,어가,라스트오더,11:20~21:20 (라스트오더 20:50),매일 11:20-21:20 LO 20:50,연중무휴,(없음),,,,,,,,,
95,잠실,장인미역 잠실본점,라스트오더,- 10:00~22:00 - 마지막 주문 21:00,매일 10:00-22:00 LO 21:00,설·추석 당일,"매주 일, 설날 당일, 추석 당일",,,,,,,,,
96,잠실,중화일상,"브레이크,라스트오더",- 11:30~21:30 - 준비시간 15:00~17:00 - 마지막 주문 20:45,매일 11:30-15:00 + 17:00-21:30 LO 20:45,연중무휴,(없음),,,,,,,,,
97,잠실,진지아,"요일별,브레이크",[평일] - 11:30~22:30 - 준비시간 16:00~17:00 -[토요일] - 11:30~22:30 [일요일] - 11:30~21:40,평일 11:30-16:00 + 17:00-22:30 / 토 11:30-22:30 / 일 11:30-21:40,연중무휴,(없음),,,,,,,,,
98,잠실,청화초밥,"브레이크,라스트오더",- 11:00~22:00 - 준비시간 15:00~16:00 - 마지막 주문 21:10,매일 11:00-15:00 + 16:00-22:00 LO 21:10,매주 일요일,매주 일,,,,,,,,,
99,잠실,커넥트투,단순,매일 10:30 - 22:00,매일 10:30-22:00,연중무휴,(없음),,,,,,,,,
100,잠실,한아람,라스트오더,- 11:30~22:00 - 마지막 주문 21:00,매일 11:30-22:00 LO 21:00,연중무휴,(없음),,,,,,,,,
